longitude,latitude,population,ocean_proximity,cluster
-122.23,37.88,322.0,NEAR BAY,1
-122.22,37.86,2401.0,NEAR BAY,1
-122.24,37.85,496.0,NEAR BAY,1
-122.25,37.85,558.0,NEAR BAY,1
-122.25,37.85,565.0,NEAR BAY,1
-122.25,37.85,413.0,NEAR BAY,1
-122.25,37.84,1094.0,NEAR BAY,1
-122.25,37.84,1157.0,NEAR BAY,1
-122.26,37.84,1206.0,NEAR BAY,1
-122.25,37.84,1551.0,NEAR BAY,1
-122.26,37.85,910.0,NEAR BAY,1
-122.26,37.85,1504.0,NEAR BAY,1
-122.26,37.85,1098.0,NEAR BAY,1
-122.26,37.84,345.0,NEAR BAY,1
-122.26,37.85,1212.0,NEAR BAY,1
-122.26,37.85,697.0,NEAR BAY,1
-122.27,37.85,793.0,NEAR BAY,1
-122.27,37.85,648.0,NEAR BAY,1
-122.26,37.84,990.0,NEAR BAY,1
-122.27,37.84,690.0,NEAR BAY,1
-122.27,37.85,409.0,NEAR BAY,1
-122.27,37.85,929.0,NEAR BAY,1
-122.27,37.84,1015.0,NEAR BAY,1
-122.27,37.84,853.0,NEAR BAY,1
-122.27,37.84,1006.0,NEAR BAY,1
-122.28,37.85,317.0,NEAR BAY,1
-122.28,37.85,607.0,NEAR BAY,1
-122.28,37.85,1102.0,NEAR BAY,1
-122.28,37.84,1131.0,NEAR BAY,1
-122.28,37.84,395.0,NEAR BAY,1
-122.28,37.84,863.0,NEAR BAY,1
-122.28,37.84,1168.0,NEAR BAY,1
-122.27,37.84,1026.0,NEAR BAY,1
-122.27,37.83,754.0,NEAR BAY,1
-122.27,37.83,1258.0,NEAR BAY,1
-122.27,37.83,570.0,NEAR BAY,1
-122.27,37.83,987.0,NEAR BAY,1
-122.28,37.83,901.0,NEAR BAY,1
-122.26,37.83,689.0,NEAR BAY,1
-122.26,37.83,1377.0,NEAR BAY,1
-122.26,37.83,946.0,NEAR BAY,1
-122.26,37.83,517.0,NEAR BAY,1
-122.26,37.84,462.0,NEAR BAY,1
-122.26,37.84,467.0,NEAR BAY,1
-122.26,37.83,660.0,NEAR BAY,1
-122.26,37.83,718.0,NEAR BAY,1
-122.26,37.83,616.0,NEAR BAY,1
-122.27,37.82,558.0,NEAR BAY,1
-122.26,37.82,423.0,NEAR BAY,1
-122.27,37.82,700.0,NEAR BAY,1
-122.27,37.82,735.0,NEAR BAY,1
-122.27,37.82,1061.0,NEAR BAY,1
-122.27,37.82,1959.0,NEAR BAY,1
-122.27,37.82,1162.0,NEAR BAY,1
-122.28,37.82,701.0,NEAR BAY,1
-122.28,37.82,576.0,NEAR BAY,1
-122.28,37.82,622.0,NEAR BAY,1
-122.28,37.82,728.0,NEAR BAY,1
-122.28,37.82,1074.0,NEAR BAY,1
-122.29,37.82,94.0,NEAR BAY,1
-122.29,37.83,554.0,NEAR BAY,1
-122.29,37.82,86.0,NEAR BAY,1
-122.29,37.81,377.0,NEAR BAY,1
-122.3,37.81,521.0,NEAR BAY,1
-122.3,37.81,392.0,NEAR BAY,1
-122.3,37.81,604.0,NEAR BAY,1
-122.3,37.81,788.0,NEAR BAY,1
-122.29,37.8,492.0,NEAR BAY,1
-122.3,37.81,274.0,NEAR BAY,1
-122.29,37.81,1823.0,NEAR BAY,1
-122.29,37.81,392.0,NEAR BAY,1
-122.29,37.81,582.0,NEAR BAY,1
-122.29,37.81,560.0,NEAR BAY,1
-122.29,37.81,18.0,NEAR BAY,1
-122.29,37.81,290.0,NEAR BAY,1
-122.28,37.81,762.0,NEAR BAY,1
-122.28,37.81,1236.0,NEAR BAY,1
-122.28,37.81,721.0,NEAR BAY,1
-122.29,37.81,1054.0,NEAR BAY,1
-122.28,37.8,344.0,NEAR BAY,1
-122.28,37.81,609.0,NEAR BAY,1
-122.27,37.81,183.0,NEAR BAY,1
-122.28,37.81,200.0,NEAR BAY,1
-122.28,37.81,346.0,NEAR BAY,1
-122.28,37.81,467.0,NEAR BAY,1
-122.28,37.81,377.0,NEAR BAY,1
-122.27,37.81,582.0,NEAR BAY,1
-122.27,37.81,546.0,NEAR BAY,1
-122.27,37.8,125.0,NEAR BAY,1
-122.27,37.8,396.0,NEAR BAY,1
-122.27,37.8,800.0,NEAR BAY,1
-122.28,37.8,904.0,NEAR BAY,1
-122.28,37.8,191.0,NEAR BAY,1
-122.27,37.79,718.0,NEAR BAY,1
-122.27,37.8,1327.0,NEAR BAY,1
-122.26,37.8,3469.0,NEAR BAY,1
-122.26,37.82,2048.0,NEAR BAY,1
-122.26,37.81,202.0,NEAR BAY,1
-122.26,37.82,2024.0,NEAR BAY,1
-122.26,37.82,1838.0,NEAR BAY,1
-122.25,37.81,2304.0,NEAR BAY,1
-122.25,37.81,2563.0,NEAR BAY,1
-122.25,37.81,389.0,NEAR BAY,1
-122.25,37.81,895.0,NEAR BAY,1
-122.26,37.81,2689.0,NEAR BAY,1
-122.24,37.82,674.0,NEAR BAY,1
-122.24,37.81,709.0,NEAR BAY,1
-122.25,37.81,686.0,NEAR BAY,1
-122.24,37.82,1444.0,NEAR BAY,1
-122.25,37.82,1520.0,NEAR BAY,1
-122.25,37.82,550.0,NEAR BAY,1
-122.25,37.82,1806.0,NEAR BAY,1
-122.25,37.82,1749.0,NEAR BAY,1
-122.25,37.83,939.0,NEAR BAY,1
-122.25,37.83,675.0,NEAR BAY,1
-122.25,37.83,534.0,NEAR BAY,1
-122.25,37.83,2558.0,NEAR BAY,1
-122.25,37.83,1786.0,NEAR BAY,1
-122.23,37.84,970.0,NEAR BAY,1
-122.23,37.84,1098.0,NEAR BAY,1
-122.24,37.83,794.0,NEAR BAY,1
-122.24,37.85,98.0,NEAR BAY,1
-122.23,37.85,1061.0,NEAR BAY,1
-122.24,37.84,1177.0,NEAR BAY,1
-122.24,37.85,901.0,NEAR BAY,1
-122.22,37.85,2031.0,NEAR BAY,1
-122.22,37.84,1031.0,NEAR BAY,1
-122.21,37.84,1358.0,NEAR BAY,1
-122.21,37.83,1616.0,NEAR BAY,1
-122.2,37.84,844.0,NEAR BAY,1
-122.21,37.84,1140.0,NEAR BAY,1
-122.19,37.84,533.0,NEAR BAY,1
-122.2,37.84,1072.0,NEAR BAY,1
-122.21,37.83,1627.0,NEAR BAY,1
-122.19,37.83,463.0,NEAR BAY,1
-122.2,37.83,542.0,NEAR BAY,1
-122.19,37.83,661.0,NEAR BAY,1
-122.19,37.82,635.0,NEAR BAY,1
-122.2,37.82,420.0,NEAR BAY,1
-122.2,37.82,1265.0,NEAR BAY,1
-122.18,37.81,126.0,NEAR BAY,1
-122.21,37.82,813.0,NEAR BAY,1
-122.2,37.81,1067.0,NEAR BAY,1
-122.21,37.8,1260.0,NEAR BAY,1
-122.21,37.8,951.0,NEAR BAY,1
-122.21,37.81,510.0,NEAR BAY,1
-122.22,37.81,765.0,NEAR BAY,1
-122.22,37.8,1129.0,NEAR BAY,1
-122.22,37.8,1073.0,NEAR BAY,1
-122.22,37.8,1185.0,NEAR BAY,1
-122.22,37.81,756.0,NEAR BAY,1
-122.22,37.81,1034.0,NEAR BAY,1
-122.23,37.8,787.0,NEAR BAY,1
-122.23,37.81,612.0,NEAR BAY,1
-122.22,37.81,1021.0,NEAR BAY,1
-122.23,37.81,861.0,NEAR BAY,1
-122.24,37.81,953.0,NEAR BAY,1
-122.24,37.81,634.0,NEAR BAY,1
-122.23,37.81,878.0,NEAR BAY,1
-122.24,37.81,918.0,NEAR BAY,1
-122.24,37.8,360.0,NEAR BAY,1
-122.25,37.8,1197.0,NEAR BAY,1
-122.24,37.81,1048.0,NEAR BAY,1
-122.25,37.81,1373.0,NEAR BAY,1
-122.25,37.8,1715.0,NEAR BAY,1
-122.25,37.8,1359.0,NEAR BAY,1
-122.25,37.8,1062.0,NEAR BAY,1
-122.25,37.8,1335.0,NEAR BAY,1
-122.24,37.79,1171.0,NEAR BAY,1
-122.25,37.79,1475.0,NEAR BAY,1
-122.25,37.79,742.0,NEAR BAY,1
-122.25,37.79,1086.0,NEAR BAY,1
-122.25,37.8,1645.0,NEAR BAY,1
-122.25,37.8,1710.0,NEAR BAY,1
-122.24,37.8,731.0,NEAR BAY,1
-122.24,37.8,1118.0,NEAR BAY,1
-122.24,37.8,1006.0,NEAR BAY,1
-122.24,37.8,1213.0,NEAR BAY,1
-122.23,37.8,772.0,NEAR BAY,1
-122.24,37.8,1321.0,NEAR BAY,1
-122.24,37.8,1487.0,NEAR BAY,1
-122.23,37.8,488.0,NEAR BAY,1
-122.23,37.8,949.0,NEAR BAY,1
-122.23,37.8,1149.0,NEAR BAY,1
-122.23,37.8,844.0,NEAR BAY,1
-122.23,37.79,4367.0,NEAR BAY,1
-122.23,37.79,1659.0,NEAR BAY,1
-122.23,37.79,1011.0,NEAR BAY,1
-122.24,37.79,1464.0,NEAR BAY,1
-122.24,37.79,1237.0,NEAR BAY,1
-122.24,37.79,647.0,NEAR BAY,1
-122.24,37.79,1284.0,NEAR BAY,1
-122.25,37.79,228.0,NEAR BAY,1
-122.25,37.79,381.0,NEAR BAY,1
-122.25,37.79,846.0,NEAR BAY,1
-122.26,37.8,1659.0,NEAR BAY,1
-122.22,37.77,520.0,NEAR BAY,1
-122.22,37.77,866.0,NEAR BAY,1
-122.23,37.77,612.0,NEAR BAY,1
-122.23,37.78,415.0,NEAR BAY,1
-122.23,37.78,994.0,NEAR BAY,1
-122.22,37.78,1525.0,NEAR BAY,1
-122.23,37.78,1506.0,NEAR BAY,1
-122.23,37.78,1008.0,NEAR BAY,1
-122.23,37.78,2813.0,NEAR BAY,1
-122.23,37.79,1481.0,NEAR BAY,1
-122.23,37.79,859.0,NEAR BAY,1
-122.22,37.79,1608.0,NEAR BAY,1
-122.23,37.79,425.0,NEAR BAY,1
-122.23,37.79,564.0,NEAR BAY,1
-122.22,37.79,961.0,NEAR BAY,1
-122.22,37.79,2273.0,NEAR BAY,1
-122.21,37.79,600.0,NEAR BAY,1
-122.22,37.79,1647.0,NEAR BAY,1
-122.22,37.79,1201.0,NEAR BAY,1
-122.22,37.79,2167.0,NEAR BAY,1
-122.2,37.79,939.0,NEAR BAY,1
-122.21,37.79,859.0,NEAR BAY,1
-122.21,37.79,1517.0,NEAR BAY,1
-122.21,37.79,1143.0,NEAR BAY,1
-122.21,37.8,1109.0,NEAR BAY,1
-122.21,37.8,1221.0,NEAR BAY,1
-122.2,37.8,1115.0,NEAR BAY,1
-122.2,37.8,706.0,NEAR BAY,1
-122.21,37.8,1883.0,NEAR BAY,1
-122.2,37.8,804.0,NEAR BAY,1
-122.21,37.8,506.0,NEAR BAY,1
